,Score,Averagescores
135,-237.9999999999994,-391.12300000000096
136,-55.00000000000065,-388.31300000000095
137,-602.9000000000001,-388.36000000000104
138,-169.99999999999994,-386.056000000001
139,-53.00000000000066,-386.076000000001
140,-49.00000000000067,-382.5570000000009
141,-52.00000000000059,-379.547000000001
142,-400.20000000000203,-379.541000000001
143,-400.10000000000093,-377.51200000000097
144,-400.70000000000215,-377.51400000000103
145,-400.30000000000206,-375.326000000001
146,-239.99999999999832,-373.72500000000105
147,-58.00000000000067,-368.21300000000105
148,-241.99999999999943,-367.51300000000106
149,-400.50000000000205,-365.50800000000095
150,-400.9000000000021,-363.1050000000009
151,-602.8000000000001,-365.127000000001
152,-619.5,-369.922000000001
153,-598.2,-371.90000000000094
154,-335.0000000000009,-371.23900000000094
155,-400.80000000000206,-368.95900000000097
156,-739.1999999999992,-370.3690000000009
157,-598.2,-369.42200000000093
158,-596.7,-374.0090000000008
159,-602.0,-373.71100000000087
160,-363.0000000000014,-373.5410000000008
161,-311.00000000000034,-372.64100000000093
162,-400.9000000000021,-372.64200000000085
163,-401.00000000000205,-372.6450000000009
164,-601.3000000000001,-376.7880000000009
165,-628.4000000000002,-381.062000000001
166,-401.0000000000021,-382.92200000000093
167,-160.99999999999793,-381.592000000001
168,-316.00000000000045,-380.7490000000009
169,-56.00000000000068,-377.3080000000009
170,-400.80000000000206,-377.30500000000086
171,-606.2,-382.02700000000084
172,-298.0000000000002,-381.86700000000087
173,-400.10000000000207,-381.86700000000087
174,-400.9000000000021,-379.81600000000077
175,-400.70000000000215,-379.9030000000008
176,-229.99999999999957,-381.7630000000009
177,-400.4000000000021,-382.23700000000093
178,-400.30000000000206,-384.63000000000096
179,-646.6000000000005,-390.5860000000009
180,-401.10000000000105,-390.5890000000009
181,-400.00000000000216,-390.58200000000085
182,-111.99999999999766,-387.6910000000009
183,-58.00000000000067,-385.9510000000009
184,-46.00000000000048,-382.4010000000009
185,-78.00000000000054,-379.1790000000009
