,Score,Averagescores
96,-8.299999999999978,-157.09793814433027
97,-52.000000000000576,-156.025510204082
98,-54.00000000000061,-154.99494949494985
99,-46.500000000000476,-153.91000000000037
100,-51.80000000000059,-148.10400000000035
101,-598.2,-147.52300000000037
102,-48.40000000000049,-147.44700000000037
103,-24.200000000000056,-147.25100000000037
104,-55.00000000000063,-147.22100000000037
105,-20.900000000000013,-146.82000000000033
106,-49.30000000000047,-147.01300000000035
107,-33.60000000000023,-146.78900000000036
108,-24.900000000000123,-146.75600000000034
109,-12.699999999999974,-146.30300000000037
110,-18.09999999999997,-145.89400000000035
111,-6.4,-145.38800000000035
112,-16.69999999999995,-144.96500000000032
113,-43.40000000000053,-144.82900000000032
114,-4.200000000000005,-144.67600000000033
115,-35.20000000000047,-138.87900000000033
116,-28.500000000000338,-138.63400000000033
117,-20.800000000000136,-138.32200000000034
118,-35.00000000000045,-138.1120000000003
119,-608.6,-143.6180000000003
120,-14.999999999999945,-143.6360000000003
121,3.300000000000035,-143.05100000000033
122,-604.1,-148.51200000000034
123,-12.599999999999978,-148.23500000000033
124,-14.099999999999925,-147.8560000000003
125,-21.09999999999997,-147.73900000000032
126,-12.599999999999977,-147.33500000000032
127,-11.699999999999942,-147.0730000000003
128,-16.59999999999993,-141.1250000000003
129,-3.2000000000000037,-134.9260000000003
130,-623.8000000000002,-134.9580000000003
131,-25.400000000000148,-128.6930000000003
132,-598.2,-128.61600000000027
133,-6.0000000000000036,-122.61300000000027
134,-599.7,-128.30200000000028
135,-9.699999999999939,-128.02100000000027
136,-9.299999999999974,-127.68900000000026
137,-10.899999999999986,-127.42800000000027
138,-601.5,-132.86400000000026
139,-598.6,-138.29000000000025
140,-15.699999999999898,-137.88700000000026
141,-598.5,-143.43000000000023
142,-601.3000000000001,-148.88300000000024
143,-0.7000000000000061,-148.63400000000024
144,-11.99999999999996,-148.44200000000023
145,-5.799999999999963,-142.5180000000002
146,-16.099999999999923,-142.2460000000002
147,-14.299999999999935,-136.4070000000002
148,-600.3000000000001,-136.3240000000002
149,-609.9,-142.11700000000022
150,-11.19999999999996,-142.09400000000022
151,0.8000000000000025,-141.53600000000023
152,-26.000000000000266,-141.52500000000023
153,-9.999999999999966,-141.41400000000024
154,-598.2,-141.0920000000002
155,-10.199999999999966,-140.60400000000024
156,-14.099999999999962,-140.27900000000022
157,-23.500000000000018,-139.92800000000022
158,-7.899999999999995,-139.3870000000002
159,-9.999999999999938,-138.8590000000002
160,-601.1,-138.6580000000002
161,-16.999999999999932,-138.2180000000002
162,-599.5,-143.60300000000018
163,-5.600000000000003,-137.2370000000002
164,-30.400000000000258,-137.15400000000017
165,-30.700000000000134,-137.08400000000017
166,-30.10000000000017,-136.76500000000019
167,-614.0,-142.32200000000017
168,-15.299999999999947,-141.86500000000015
169,-19.099999999999973,-141.43600000000012
170,-9.999999999999986,-140.96400000000014
171,-13.999999999999973,-140.66200000000015
172,-38.00000000000035,-140.73400000000015
173,-598.2,-146.13600000000014
174,-16.19999999999996,-146.01900000000015
175,-41.700000000000394,-146.01700000000017
176,-49.00000000000056,-146.06600000000014
177,-605.1,-151.88200000000015
178,-54.00000000000062,-152.08000000000013
179,-11.099999999999985,-151.81700000000012
180,-55.00000000000063,-151.98400000000012
181,-12.999999999999968,-145.9330000000001
182,-43.50000000000043,-145.82800000000012
183,-51.300000000000516,-146.03400000000013
184,-53.00000000000063,-140.58200000000014
185,-38.8000000000003,-140.44000000000014
186,-51.000000000000604,-140.63300000000015
187,-50.00000000000055,-141.07000000000014
188,-16.19999999999996,-140.87400000000014
189,-52.00000000000059,-140.91600000000014
190,-619.6,-140.81300000000016
191,-637.7000000000004,-146.69000000000017
192,-40.20000000000032,-146.96900000000016
193,-47.00000000000051,-147.09200000000016
194,-34.5000000000002,-146.90700000000015
195,-14.299999999999972,-140.89600000000013
196,-15.19999999999996,-140.96500000000015
197,-25.500000000000075,-140.70000000000016
198,-609.0,-146.25000000000014
199,-598.2,-151.76700000000014
200,-610.7,-157.35600000000014
201,-48.00000000000061,-151.85400000000016
202,-53.90000000000062,-151.90900000000016
203,-627.3000000000002,-157.94000000000014
204,-601.2,-163.40200000000013
205,-649.4000000000005,-169.68700000000015
206,-19.099999999999984,-169.3850000000001
207,-49.000000000000554,-169.53900000000013
208,-52.000000000000576,-169.81000000000012
209,-35.800000000000296,-170.04100000000008
210,-29.900000000000166,-170.15900000000013
211,-33.80000000000024,-170.4330000000001
212,-48.00000000000063,-170.74600000000012
213,-3.4999999999999964,-170.34700000000012
214,-12.799999999999969,-170.4330000000001
215,-14.699999999999967,-170.2280000000001
216,-42.00000000000052,-170.36300000000014
217,-18.49999999999997,-170.34000000000012
218,-24.500000000000064,-170.2350000000001
219,-28.70000000000023,-164.43600000000012
220,-24.90000000000011,-164.53500000000014
221,-1.1000000000000087,-164.57900000000012
222,-32.600000000000534,-158.86400000000015
223,-602.2,-164.76000000000013
224,-613.6999999999999,-170.75600000000017
225,-6.69999999999999,-170.61200000000017
226,-619.6000000000001,-176.68200000000016
227,-7.199999999999925,-176.63700000000014
228,-598.5,-182.45600000000013
229,-13.599999999999929,-182.56000000000014
230,-37.80000000000038,-176.70000000000016
231,-9.29999999999999,-176.53900000000013
232,-12.699999999999953,-170.6840000000001
233,-597.2,-176.59600000000012
234,-603.6,-176.63500000000013
235,-38.70000000000037,-176.92500000000015
236,-12.599999999999975,-176.95800000000014
237,-15.999999999999954,-177.00900000000013
238,-629.7000000000003,-177.29100000000014
239,-4.500000000000003,-171.35000000000014
